UID,Player,Best Pos,Age,Club,Division,Mins,Tgls/90,Tcon/90,Con/90,Saves/90,xGP/90,xSv %,Svt,Svp,Svh,Sv %,Ps A/90,Pas %,Poss Won/90,Poss Lost/90,Int/90,Clr/90,Pens Faced,Pens Saved Ratio,Dist/90,Gl Mst,FA,Wage,Transfer Value
67030171,David De Gea - Pick Player,GK,35,Fiorentina,Serie A TIM,"3,870",1.77,1.05,1.05,3,-0.03,86%,17,56,76,81%,20.21,81%,5.4,5.86,0.23,5.47,2,50%,6.5km,2,0,"£43,000 p/w",Not for Sale
43084560,Luca Lezzerini - Pick Player,GK,31,Fiorentina,Serie A TIM,90,2,3,3,5,-0.64,74%,3,0,2,62%,15,80%,3,6,1,10,0,-,6.6km,0,0,£925 p/w,£350K - £750K
27137069,Oliver Christensen - Pick Player,GK,27,Fiorentina,Serie A TIM,810,1.56,1.33,1.33,2,-0.2,83%,4,14,8,76%,19.56,81%,3.11,5.11,0.33,4.56,1,0%,6.4km,1,0,"£10,500 p/w",£4.5M - £6.2M
